model_name,test_name,mse,activation,mu,my,hlszs,bsz,e,p,lr,weight_decay
grid0_8,random_walk_short,2.0413837421895757e-07,LeakyReLU,5,50,200,64,200,5,0.001,0.1
grid0_8,mixed_ramp_short,1.174526099800975e-07,LeakyReLU,5,50,200,64,200,5,0.001,0.1
grid0_8,multiple_steps_interval100,1.790930379664512e-07,LeakyReLU,5,50,200,64,200,5,0.001,0.1
grid0_9,step_choke_medium,5.973099177936092e-06,LeakyReLU,20,5,10,64,200,5,0.001,0.1
grid0_9,step_choke_low,2.3991568014025688e-05,LeakyReLU,20,5,10,64,200,5,0.001,0.1
grid0_9,step_choke_high,4.8232504923362285e-06,LeakyReLU,20,5,10,64,200,5,0.001,0.1
grid0_9,random_walk_short,1.6319747608635695e-06,LeakyReLU,20,5,10,64,200,5,0.001,0.1
grid0_9,mixed_ramp_short,4.103524720813397e-09,LeakyReLU,20,5,10,64,200,5,0.001,0.1
grid0_9,multiple_steps_interval100,2.9005085317684074e-07,LeakyReLU,20,5,10,64,200,5,0.001,0.1
grid0_10,step_choke_medium,2.52925227479344e-06,LeakyReLU,20,5,40,64,200,5,0.001,0.1
grid0_10,step_choke_low,3.28035800651248e-05,LeakyReLU,20,5,40,64,200,5,0.001,0.1
grid0_10,step_choke_high,5.590781386542533e-06,LeakyReLU,20,5,40,64,200,5,0.001,0.1
grid0_10,random_walk_short,1.8733775153035118e-06,LeakyReLU,20,5,40,64,200,5,0.001,0.1
grid0_10,mixed_ramp_short,4.584384420251015e-08,LeakyReLU,20,5,40,64,200,5,0.001,0.1
grid0_10,multiple_steps_interval100,5.726297656240474e-07,LeakyReLU,20,5,40,64,200,5,0.001,0.1
grid0_11,step_choke_medium,5.511041048781148e-06,LeakyReLU,20,5,200,64,200,5,0.001,0.1
grid0_11,step_choke_low,2.3185614346792655e-05,LeakyReLU,20,5,200,64,200,5,0.001,0.1
grid0_11,step_choke_high,2.0048057194799185e-05,LeakyReLU,20,5,200,64,200,5,0.001,0.1
grid0_11,random_walk_short,1.7347030206433226e-06,LeakyReLU,20,5,200,64,200,5,0.001,0.1
grid0_11,mixed_ramp_short,2.4559854589214755e-07,LeakyReLU,20,5,200,64,200,5,0.001,0.1
grid0_11,multiple_steps_interval100,9.271394186985812e-07,LeakyReLU,20,5,200,64,200,5,0.001,0.1
grid0_12,step_choke_medium,8.814515695121372e-08,LeakyReLU,20,20,10,64,200,5,0.001,0.1
grid0_12,step_choke_low,3.488233778625727e-05,LeakyReLU,20,20,10,64,200,5,0.001,0.1
grid0_12,step_choke_high,5.220199195069394e-06,LeakyReLU,20,20,10,64,200,5,0.001,0.1
grid0_12,random_walk_short,1.0120717155176305e-06,LeakyReLU,20,20,10,64,200,5,0.001,0.1
grid0_12,mixed_ramp_short,8.758371365975136e-08,LeakyReLU,20,20,10,64,200,5,0.001,0.1
grid0_12,multiple_steps_interval100,2.685097050354151e-07,LeakyReLU,20,20,10,64,200,5,0.001,0.1
grid0_13,step_choke_medium,6.642815735956122e-06,LeakyReLU,20,20,40,64,200,5,0.001,0.1
grid0_13,step_choke_low,1.305416559002229e-05,LeakyReLU,20,20,40,64,200,5,0.001,0.1
grid0_13,step_choke_high,1.5617220664613081e-06,LeakyReLU,20,20,40,64,200,5,0.001,0.1
grid0_13,random_walk_short,1.0836956789717078e-06,LeakyReLU,20,20,40,64,200,5,0.001,0.1
grid0_13,mixed_ramp_short,1.1265883343128449e-07,LeakyReLU,20,20,40,64,200,5,0.001,0.1
grid0_13,multiple_steps_interval100,5.376197805162519e-07,LeakyReLU,20,20,40,64,200,5,0.001,0.1
grid0_14,step_choke_medium,5.851258590285267e-06,LeakyReLU,20,20,200,64,200,5,0.001,0.1
grid0_14,step_choke_low,1.1985978094993957e-05,LeakyReLU,20,20,200,64,200,5,0.001,0.1
grid0_14,step_choke_high,4.369116920445647e-06,LeakyReLU,20,20,200,64,200,5,0.001,0.1
grid0_14,random_walk_short,8.415060883928691e-07,LeakyReLU,20,20,200,64,200,5,0.001,0.1
grid0_14,mixed_ramp_short,1.0018986213037907e-08,LeakyReLU,20,20,200,64,200,5,0.001,0.1
grid0_14,multiple_steps_interval100,1.4463968389983554e-07,LeakyReLU,20,20,200,64,200,5,0.001,0.1
grid0_15,step_choke_medium,2.9113099507022914e-06,LeakyReLU,20,50,10,64,200,5,0.001,0.1
grid0_15,step_choke_low,5.285632921316262e-06,LeakyReLU,20,50,10,64,200,5,0.001,0.1
grid0_15,step_choke_high,1.8424561858410016e-06,LeakyReLU,20,50,10,64,200,5,0.001,0.1
grid0_15,random_walk_short,6.691713708512966e-07,LeakyReLU,20,50,10,64,200,5,0.001,0.1
grid0_15,mixed_ramp_short,5.4556841228657486e-08,LeakyReLU,20,50,10,64,200,5,0.001,0.1
grid0_15,multiple_steps_interval100,7.432361258815291e-08,LeakyReLU,20,50,10,64,200,5,0.001,0.1
grid0_16,step_choke_medium,9.153426877414209e-07,LeakyReLU,20,50,40,64,200,5,0.001,0.1
grid0_16,step_choke_low,6.608118253227856e-06,LeakyReLU,20,50,40,64,200,5,0.001,0.1
grid0_16,step_choke_high,4.441334827528668e-07,LeakyReLU,20,50,40,64,200,5,0.001,0.1
grid0_16,random_walk_short,9.060221453828197e-07,LeakyReLU,20,50,40,64,200,5,0.001,0.1
grid0_16,mixed_ramp_short,2.9808983019517197e-07,LeakyReLU,20,50,40,64,200,5,0.001,0.1
grid0_16,multiple_steps_interval100,5.979218650877262e-07,LeakyReLU,20,50,40,64,200,5,0.001,0.1
grid0_17,step_choke_medium,1.6697257316471742e-06,LeakyReLU,20,50,200,64,200,5,0.001,0.1
grid0_17,step_choke_low,9.21325824622597e-06,LeakyReLU,20,50,200,64,200,5,0.001,0.1
grid0_17,step_choke_high,2.6424524029217925e-06,LeakyReLU,20,50,200,64,200,5,0.001,0.1
grid0_17,random_walk_short,6.851023851683543e-07,LeakyReLU,20,50,200,64,200,5,0.001,0.1
grid0_17,mixed_ramp_short,4.5568367163374334e-08,LeakyReLU,20,50,200,64,200,5,0.001,0.1
grid0_17,multiple_steps_interval100,7.255053630922821e-08,LeakyReLU,20,50,200,64,200,5,0.001,0.1
grid0_18,step_choke_medium,1.7286882731631131e-06,LeakyReLU,50,5,10,64,200,5,0.001,0.1
grid0_18,step_choke_low,5.5141189867364506e-05,LeakyReLU,50,5,10,64,200,5,0.001,0.1
grid0_18,step_choke_high,8.487151977273502e-06,LeakyReLU,50,5,10,64,200,5,0.001,0.1
grid0_18,random_walk_short,1.8710251747360153e-06,LeakyReLU,50,5,10,64,200,5,0.001,0.1
grid0_18,mixed_ramp_short,1.4462366973765704e-07,LeakyReLU,50,5,10,64,200,5,0.001,0.1
grid0_18,multiple_steps_interval100,8.640976466921916e-07,LeakyReLU,50,5,10,64,200,5,0.001,0.1
grid0_19,step_choke_medium,6.6929824242834e-06,LeakyReLU,50,5,40,64,200,5,0.001,0.1
grid0_19,step_choke_low,3.5053954759080496e-05,LeakyReLU,50,5,40,64,200,5,0.001,0.1
grid0_19,step_choke_high,1.1741427182901783e-06,LeakyReLU,50,5,40,64,200,5,0.001,0.1
grid0_19,random_walk_short,1.6467151938066367e-06,LeakyReLU,50,5,40,64,200,5,0.001,0.1
grid0_19,mixed_ramp_short,1.077238112757672e-09,LeakyReLU,50,5,40,64,200,5,0.001,0.1
grid0_19,multiple_steps_interval100,4.786994892822431e-07,LeakyReLU,50,5,40,64,200,5,0.001,0.1
grid0_20,step_choke_medium,1.0146163861333792e-05,LeakyReLU,50,5,200,64,200,5,0.001,0.1
